name,gender,nationality,nationalityID,birth
Isabella Gilmore,female,United Kingdom,Q145,1842
Jacquie Petrusma,female,Australia,Q408,1966
Jane Currie Blaikie Hoge,female,United States,Q30,1811
Jane Delano,female,United States,Q30,1862
Roswitha Mayr,female,Austria,Q40,1972
Albertina Knutsson,female,Sweden,Q34,1858
Elizabeth Crouch,female,Australia,Q408,1917
Mathilde Airault,female,France,Q142,1872
Juliette Droz,female,France,Q142,1873
Irmgard Ellen Hell née Neumann,female,German Reich,Q1206012,1905
Irmgard Spittler,female,Germany,Q183,1938
Matrona Petrovna Mylʹnikova,female,Russia,Q159,1814
Bettina Glunde,female,Germany,Q183,1965
Christine Aeon,female,Austria,Q40,1960
Silvia Neumann-Ponesch,female,Austria,Q40,1963
Rosalía Morlán Vieites,female,Spain,Q29,1959
Pam Miley-Terry,female,New Zealand,Q664,1938
Louise Alexa McNie,female,New Zealand,Q664,1879
Lisa Augusta Pettersson,female,Sweden,Q34,1894
Margaret Colville Marshall,female,United Kingdom of Great Britain and Ireland,Q174193,1895
Rina Yoshikawa,female,Japan,Q17,1987
Agnes Mann,female,Germany,Q183,1907
Helen Pulliam,female,United States,Q30,1945
Carrie Early Broadfoot,female,United States,Q30,1870
Lourdes Lejarreta Arroyo,female,Spain,Q29,1958
Emmy Margareta Östlund,female,Sweden,Q34,1885
Abela Hellas Birgitta Adelswärd,female,Sweden,Q34,1902
Mercè Fuentes Pujol,female,Spain,Q29,1950
Gazelle Sharmahd,female,Iran,Q794,1982
Martha Ratia,female,Finland,Q33,1909
Mariona Creus Virgili,female,Spain,Q29,1941
Dorothy Finlay,female,New Zealand,Q664,1945
Marie-Rose Michaud-Lapeyre,female,France,Q142,1873
Johanne Louis-Hansen,female,Kingdom of Denmark,Q756617,1915
Dorothy Smith,female,United Kingdom,Q145,1895
Anette Poulsen,female,Kingdom of Denmark,Q756617,1953
Aino Hjelt-Pándy,female,Finland,Q33,1881
Grace Margery Westbrook,female,United Kingdom,Q145,1910
Gertrud Procopé,female,Grand Principality of Finland,Q62633,1871
Sarah Elizabeth Russell,female,Canada,Q16,1875
Harriet Dippell-Schmakoff,female,Finland,Q33,1891
Mary R. Cromwel,female,United States,Q30,1868
Madeleine Savary,female,France,Q142,1917
Gertrude Omog,female,Cameroon,Q1009,1932
Edith Fürst,female,Germany,Q183,1904
