name,gender,nationality,nationalityID,birth
Dian van Leeuwen-Schut,female,Kingdom of the Netherlands,Q29999,1939
Masako Mori,female,Japan,Q17,1964
Sarah T. Hughes,female,United States,Q30,1896
Paola Frassinetti,female,Italy,Q38,1956
Maria Otto,female,Germany,Q183,1892
Nora Platiel,female,German Reich,Q1206012,1896
Marguerite Wolff,female,United Kingdom,Q145,1883
Tijen Kortak,female,Germany,Q183,1975
Tamara Zieschang,female,Germany,Q183,1970
Margarita Zavala de Calderón,female,Mexico,Q96,1967
Susana Ruiz Cerutti,female,Argentina,Q414,1940
Katrien Schryvers,female,Belgium,Q31,1964
Lizzy van Dorp,female,Kingdom of the Netherlands,Q29999,1872
Helga Stevens,female,Belgium,Q31,1968
Noreen Evans,female,United States,Q30,1955
Fientje Moerman,female,Belgium,Q31,1958
Susan Cain,female,United States,Q30,1968
Katrin Hesse-Schmitz,female,Germany,Q183,1964
Digna Ochoa,female,Mexico,Q96,1964
Kadriye Aydın,female,Germany,Q183,1970
Jacqueline Moudeina,female,Chad,Q657,1957
Jacqueline Bernhardt,female,Germany,Q183,1977
Katja Keul,female,Germany,Q183,1969
Kathryn O'Loughlin McCarthy,female,United States,Q30,1894
Asma Jahangir,female,Pakistan,Q843,1952
Gertrud Heinzelmann,female,Switzerland,Q39,1914
Marianne Burkert-Eulitz,female,Germany,Q183,1972
Salomé di Iorio,female,Argentina,Q414,1980
Violet Alva,female,British Raj,Q129286,1908
Sabine Klamroth,female,Germany,Q183,1933
Eva von Angern,female,Germany,Q183,1976
Eva Völler,female,Germany,Q183,1956
Marjorie Holt,female,United States,Q30,1920
Isabelle Häner,female,Switzerland,Q39,1958
Hilde Eiserhardt,female,Germany,Q183,1888
Eva Möllring,female,Germany,Q183,1955
Eva Jähnigen,female,Germany,Q183,1965
Radmila Hrustanović,female,Serbia,Q403,1952
Kirsten Klingenberg,female,Germany,Q183,1968
Mária Havasiné Orbán,female,Hungary,Q28,1952
Canan Bayram,female,Germany,Q183,1966
Janet Bostwick,female,The Bahamas,Q778,1939
Rebecca Kadaga,female,Uganda,Q1036,1956
Isabella Rudes,female,Germany,Q183,1968
Bärbel Freudenberg-Pilster,female,Germany,Q183,1954
Esther Obeng Dapaah,female,Ghana,Q117,1945
Gisela Wild,female,Germany,Q183,1932
Heike Hofmann,female,Germany,Q183,1973
Irmgard Fuest,female,Germany,Q183,1903
Gloria Akuffo,female,Ghana,Q117,1954
Ulrike Tašić,female,Germany,Q183,1959
