name,gender,nationality,nationalityID,birth
Roko Camaj,male,United States,Q30,1941
John Watson,male,United States,Q30,1946
John Larry Sartain,male,United States,Q30,1942
Erik Karl Geldam,male,Kingdom of Denmark,Q756617,1955
